SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME
spetan1,Tangara_guttata,Speckled_Tanager
spetea3,Anas_andium,Andean_Teal
spetyr1,Hymenops_perspicillatus,Spectacled_Tyrant
spfant1,Xenornis_setifrons,Spiny-faced_Antshrike
spfgal1,Porphyriops_melanops,Spot-flanked_Gallinule
spfpar1,Pionus_tumultuosus,Speckle-faced_Parrot
spfswi1,Cypseloides_cherriei,Spot-fronted_Swift
spigua1,Penelope_jacquacu,Spix's_Guan
spispi1,Synallaxis_spixi,Spix's_Spinetail
spitap2,Scytalopus_spillmanni,Spillmann's_Tapaculo
spiwaa1,Hypocnemis_striata,Spix's_Warbling-Antbird
spiwoo1,Xiphorhynchus_spixii,Spix's_Woodcreeper
spnthr1,Catharus_dryas,Spotted_Nightingale-Thrush
spoant1,Hylophylax_naevioides,Spotted_Antbird
spoant5,Hylopezus_paraensis,Snethlage's_Antpitta
spoant6,Hylopezus_macularius,Spotted_Antpitta
spobam1,Psilorhamphus_guttatus,Spotted_Bamboowren
spobar1,Premnoplex_brunnescens,Spotted_Barbtail
spocra1,Porzana_porzana,Spotted_Crake
spocra2,Zapornia_tabuensis,Spotless_Crake
spodov,Streptopelia_chinensis,Spotted_Dove
sponot1,Nothura_maculosa,Spotted_Nothura
spoowl,Strix_occidentalis,Spotted_Owl
spopic1,Picumnus_pygmaeus,Spotted_Piculet
spopuf1,Bucco_tamatia,Spotted_Puffbird
sporai,Pardirallus_maculatus,Spotted_Rail
spored,Tringa_erythropus,Spotted_Redshank
sposan,Actitis_macularius,Spotted_Sandpiper
spotan1,Tangara_punctata,Spotted_Tanager
spotow,Pipilo_maculatus,Spotted_Towhee
spowoo1,Xiphorhynchus_erythropygius,Spotted_Woodcreeper
spowre1,Campylorhynchus_gularis,Spotted_Wren
sprgro,Falcipennis_canadensis,Spruce_Grouse
sprpip,Anthus_spragueii,Sprague's_Pipit
sptant1,Herpsilochmus_sticturus,Spot-tailed_Antwren
sptfly1,Todirostrum_maculatum,Spotted_Tody-Flycatcher
spthum1,Tilmatura_dupontii,Sparkling-tailed_Hummingbird
spthum2,Leucippus_taczanowskii,Spot-throated_Hummingbird
sptnig1,Hydropsalis_maculicaudus,Spot-tailed_Nightjar
sptwoo1,Certhiasomus_stictolaemus,Spot-throated_Woodcreeper
spvear1,Colibri_coruscans,Sparkling_Violetear
spwant2,Pygiptila_stellaris,Spot-winged_Antshrike
spwant3,Myrmelastes_leucostigma,Spot-winged_Antbird
spwfal2,Spiziapteryx_circumcincta,Spot-winged_Falconet
spwpar2,Touit_stictopterus,Spot-winged_Parrotlet
spwpig3,Patagioenas_maculosa,Spot-winged_Pigeon
spwqua1,Odontophorus_guttatus,Spotted_Wood-Quail
squant1,Myrmoderus_squamosus,Squamate_Antbird
squcuc1,Piaya_cayana,Squirrel_Cuckoo
squher1,Ardeola_ralloides,Squacco_Heron
srwswa1,Stelgidopteryx_ruficollis,Southern_Rough-winged_Swallow
sstspa,Ammodramus_caudacutus,Saltmarsh_Sparrow
stavir1,Vireo_caribaeus,San_Andres_Vireo
stbant1,Thamnophilus_insignis,Streak-backed_Antshrike
stbant2,Myrmorchilus_strigilatus,Stripe-backed_Antbird
stbbit1,Ixobrychus_involucris,Stripe-backed_Bittern
stbcan1,Asthenes_wyatti,Streak-backed_Canastero
stbcin1,Cinclodes_excelsior,Stout-billed_Cinclodes
stbear2,Ochetorhynchus_ruficaudus,Straight-billed_Earthcreeper
stbher1,Phaethornis_bourcieri,Straight-billed_Hermit
stbori,Icterus_pustulatus,Streak-backed_Oriole
stbree2,Limnoctites_rectirostris,Straight-billed_Reedhaunter
stbspi1,Synallaxis_cinnamomea,Stripe-breasted_Spinetail
stbsta1,Heliomaster_squamosus,Stripe-breasted_Starthroat
stbtre1,Thripadectes_rufobrunneus,Streak-breasted_Treehunter
stbtyr1,Myiotheretes_striaticollis,Streak-throated_Bush-Tyrant
stbwoo1,Xiphocolaptes_promeropirhynchus,Strong-billed_Woodcreeper
stbwoo2,Dendroplex_picus,Straight-billed_Woodcreeper
stbwre1,Cantorchilus_thoracicus,Stripe-breasted_Wren
stbwre2,Campylorhynchus_nuchalis,Stripe-backed_Wren
stcant1,Dysithamnus_striaticeps,Streak-crowned_Antvireo
stcant2,Hylopezus_perspicillatus,Streak-chested_Antpitta
stcant3,Terenura_maculata,Streak-capped_Antwren
stcant4,Myrmotherula_longicauda,Stripe-chested_Antwren
stcspa1,Rhynchospiza_strigiceps,Stripe-capped_Sparrow
stcspi1,Cranioleuca_hellmayri,Streak-capped_Spinetail
stcspi2,Cranioleuca_pyrrhophia,Stripe-crowned_Spinetail
stctre1,Thripadectes_virgaticeps,Streak-capped_Treehunter
stcwoo1,Piculus_callopterus,Stripe-cheeked_Woodpecker
stecan1,Pseudasthenes_steinbachi,Steinbach's_Canastero
steeid,Polysticta_stelleri,Steller's_Eider
stejay,Cyanocitta_stelleri,Steller's_Jay
stelor1,Vini_stepheni,Stephen's_Lorikeet
stepet,Pterodroma_longirostris,Stejneger's_Petrel
stfgle1,Anabacerthia_variegaticeps,Scaly-throated_Foliage-gleaner
stftho1,Phacellodomus_striaticeps,Streak-fronted_Thornbird
stftyr1,Muscigralla_brevicauda,Short-tailed_Field_Tyrant
sthant1,Drymophila_striaticeps,Streak-headed_Antbird
sthant2,Grallaria_andicolus,Stripe-headed_Antpitta
sthbrf1,Arremon_atricapillus,Black-headed_Brushfinch
sthbrf2,Arremon_torquatus,White-browed_Brushfinch
sthbrf3,Arremon_costaricensis,Costa_Rican_Brushfinch
sthbrf4,Arremon_basilicus,Sierra_Nevada_Brushfinch
sthbrf5,Arremon_perijanus,Perija_Brushfinch
sthbrf6,Arremon_phaeopleurus,Caracas_Brushfinch
sthbrf7,Arremon_phygas,Paria_Brushfinch
sthbrf8,Arremon_assimilis,Gray-browed_Brushfinch
sthspa1,Peucaea_ruficauda,Stripe-headed_Sparrow
sthwoo1,Lepidocolaptes_souleyetii,Streak-headed_Woodcreeper
stisan,Calidris_himantopus,Stilt_Sandpiper
stitap1,Scytalopus_stilesi,Stiles's_Tapaculo
stlori1,Icterus_laudabilis,St._Lucia_Oriole
stlpar1,Amazona_versicolor,St._Lucia_Parrot
stlwar,Setophaga_delicata,St._Lucia_Warbler
stnfly1,Mionectes_striaticollis,Streak-necked_Flycatcher
stofly1,Myiarchus_stolidus,Stolid_Flycatcher
stptyr1,Myiornis_ecaudatus,Short-tailed_Pygmy-Tyrant
